title,normalized_title,type,authors,journal,year,library
Waveform tomography in 2.5D: Parameterization for crooked-line acquisition geometry,waveform tomography in 25d parameterization for crookedline acquisition geometry,Journal Article,"Smithyman, BR; Clowes, RM",JOURNAL OF GEOPHYSICAL RESEARCH-SOLID EARTH,0000,Portal
"Hydrogeochemistry of the Fraser River, British Columbia: Seasonal variation in major and minor components",hydrogeochemistry of the fraser river british columbia seasonal variation in major and minor components,Journal Article,"Cameron, EM",JOURNAL OF HYDROLOGY,0000,Portal
Evacuating a First Nation Due to Wildfire Smoke: The Case of Dene Tha' First Nation,evacuating a first nation due to wildfire smoke the case of dene tha first nation,Journal Article,"Mottershead, KD; McGee, TK; Christianson, A",INTERNATIONAL JOURNAL OF DISASTER RISK SCIENCE,0000,Portal
Long-term forest management and timely transfer of carbon into wood products help reduce atmospheric carbon,longterm forest management and timely transfer of carbon into wood products help reduce atmospheric carbon,Journal Article,"Liu, GL; Han, SJ",ECOLOGICAL MODELLING,0000,Portal
DEVELOPMENT OF FISH HABITAT FOR MITIGATION BELOW HYDRO DIVERSIONS,development of fish habitat for mitigation below hydro diversions,Journal Article,"GOLDBERG, H; RUBLEE, B; MITCHELL, AC",JOURNAL OF ENERGY ENGINEERING-ASCE,0000,Portal
"First Nations Elders' perspectives of engagement in community programs in Nak'azdli Whut'en, British Columbia, Canada",first nations elders perspectives of engagement in community programs in nakazdli whuten british columbia canada,Journal Article,"Tonkin, R; Freeman, S; Martin, J; Ward, V; Skinner, K",CANADIAN JOURNAL OF PUBLIC HEALTH-REVUE CANADIENNE DE SANTE PUBLIQUE,2018,Search
Variability in sub-regional impacts of dwarf mistletoe on mature lodgepole pine,variability in subregional impacts of dwarf mistletoe on mature lodgepole pine,Journal Article,"Thomson, AJ; Muir, A; Lewis, KJ",FORESTRY CHRONICLE,1997,Search
Microsatellite DNA analysis of overwintering bull trout (Salvelinus confluentus) and its implications for harvest regulation and habitat management,microsatellite dna analysis of overwintering bull trout salvelinus confluentus and its implications for harvest regulation and habitat management,Journal Article,"Taylor, EB; Chudnow, R; Pillipow, R; Spendlow, I; van Poorten, B",FISHERIES MANAGEMENT AND ECOLOGY,2021,Search
The influence of mantle plume in the genesis of the Cache Creek oceanic igneous rocks: implications for the geodynamic evolution of the inner accreted terranes of the Canadian Cordillera,the influence of mantle plume in the genesis of the cache creek oceanic igneous rocks implications for the geodynamic evolution of the inner accreted terranes of the canadian cordillera,Journal Article,"Tardy, M; Lapierre, H; Struik, LC; Bosch, D; Brunet, P",CANADIAN JOURNAL OF EARTH SCIENCES,2001,Search
Dead forests burning: the influence of beetle outbreaks on fire severity and legacy structure in sub-boreal forests,dead forests burning the influence of beetle outbreaks on fire severity and legacy structure in subboreal forests,Journal Article,"Talucci, AC; Krawchuk, MA",ECOSPHERE,2019,Search
Distribution of Paleogene and Cretaceous rocks around the Nazko River belt of central British Columbia from 3-D long-offset first-arrival seismic tomography,distribution of paleogene and cretaceous rocks around the nazko river belt of central british columbia from 3d longoffset firstarrival seismic tomography,Journal Article,"Talinga, D; Calvert, AJ",CANADIAN JOURNAL OF EARTH SCIENCES,2014,Search
Initial development of HF radar polar patch caused by azimuthal flow burst in the cusp,initial development of hf radar polar patch caused by azimuthal flow burst in the cusp,Journal Article,"Taguchi, S; Hosokawa, K; Suzuki, S; Yukimatu, AS; Sato, N",JOURNAL OF GEOPHYSICAL RESEARCH-SPACE PHYSICS,2010,Search
Temperature and Flow Effects on Migration Timing of Chinook Salmon Smolts,temperature and flow effects on migration timing of chinook salmon smolts,Journal Article,"Sykes, GE; Johnson, CJ; Shrimpton, JM",TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY,2009,Search
Teen Trouble and Community Identity in Post-Second World War Northern British Columbia,teen trouble and community identity in postsecond world war northern british columbia,Journal Article,"Swainger, J",JOURNAL OF CANADIAN STUDIES-REVUE D ETUDES CANADIENNES,2013,Search
Radiation therapy in the management of breast cancer and the impact of BC Cancer Centre for the North on patient choice of treatment,radiation therapy in the management of breast cancer and the impact of bc cancer centre for the north on patient choice of treatment,Journal Article,"Sutter, FM; Ye, A",BRITISH COLUMBIA MEDICAL JOURNAL,2018,Search
Changes in diversity of plant and small mammal communities after herbicide application in sub-boreal spruce forest,changes in diversity of plant and small mammal communities after herbicide application in subboreal spruce forest,Journal Article,"Sullivan, TP; Wagner, RG; Pitt, DG; Lautenschlager, RA; Chen, DG",CANADIAN JOURNAL OF FOREST RESEARCH,1998,Search
Stand structure and small mammals in young lodgepole pine forest: 10-year results after thinning,stand structure and small mammals in young lodgepole pine forest 10year results after thinning,Journal Article,"Sullivan, TP; Sullivan, DS; Lindgren, PMF",ECOLOGICAL APPLICATIONS,2001,Search
Long-term responses of ecosystem components to stand thinning in young lodgepole pine forest IV. Relative habitat use by mammalian herbivores,longterm responses of ecosystem components to stand thinning in young lodgepole pine forest iv relative habitat use by mammalian herbivores,Journal Article,"Sullivan, TP; Sullivan, DS; Lindgren, PMF; Ransome, DB",FOREST ECOLOGY AND MANAGEMENT,2007,Search
Long-term responses of ecosystem components to stand thinning in young lodgepole pine forest III. Growth of crop trees and coniferous stand structure,longterm responses of ecosystem components to stand thinning in young lodgepole pine forest iii growth of crop trees and coniferous stand structure,Journal Article,"Sullivan, TP; Sullivan, DS; Lindgren, PMF; Ransome, DB",FOREST ECOLOGY AND MANAGEMENT,2006,Search
Long-term responses of ecosystem components to stand thinning in young lodgepole pine forest - II. Diversity and population dynamics of forest floor small mammals,longterm responses of ecosystem components to stand thinning in young lodgepole pine forest ii diversity and population dynamics of forest floor small mammals,Journal Article,"Sullivan, TP; Sullivan, DS; Lindgren, PMF; Ransome, DB",FOREST ECOLOGY AND MANAGEMENT,2005,Search
Silvicultural use of herbicide in sub-boreal spruce forest: Implications for small mammal population dynamics,silvicultural use of herbicide in subboreal spruce forest implications for small mammal population dynamics,Journal Article,"Sullivan, TP; Nowotny, C; Lautenschlager, RA; Wagner, RG",JOURNAL OF WILDLIFE MANAGEMENT,1998,Search
Influence of glyphosate on vegetation dynamics in different successional stages of sub-boreal spruce forest,influence of glyphosate on vegetation dynamics in different successional stages of subboreal spruce forest,Journal Article,"Sullivan, TP; Lautenschlager, RA; Wagner, RG",WEED TECHNOLOGY,1996,Search
Response of red squirrels and feeding damage to variable stand density in young lodgepole pine forest,response of red squirrels and feeding damage to variable stand density in young lodgepole pine forest,Journal Article,"Sullivan, TP; Klenner, W; Diggle, PK",ECOLOGICAL APPLICATIONS,1996,Search
Response of northwestern chipmunks (Tamias amoenus) to variable habitat structure in young lodgepole pine forest,response of northwestern chipmunks tamias amoenus to variable habitat structure in young lodgepole pine forest,Journal Article,"Sullivan, TP; Klenner, W",CANADIAN JOURNAL OF ZOOLOGY-REVUE CANADIENNE DE ZOOLOGIE,2000,Search
Influence of herbicide-induced habitat alteration on vegetation and snowshoe hare populations in sub-boreal spruce forest,influence of herbicideinduced habitat alteration on vegetation and snowshoe hare populations in subboreal spruce forest,Journal Article,"Sullivan, TP",JOURNAL OF APPLIED ECOLOGY,1994,Search
"Influence of forest herbicide on snowshoe hare population dynamics: Reproduction, growth, and survival",influence of forest herbicide on snowshoe hare population dynamics reproduction growth and survival,Journal Article,"Sullivan, TP",CANADIAN JOURNAL OF FOREST RESEARCH-REVUE CANADIENNE DE RECHERCHE FORESTIERE,1996,Search
Multiphase flow of the late Wisconsinan Cordilleran ice sheet in western Canada,multiphase flow of the late wisconsinan cordilleran ice sheet in western canada,Journal Article,"Stumpf, AJ; Broster, BE; Levson, VM",GEOLOGICAL SOCIETY OF AMERICA BULLETIN,2000,Search
"Imbricate architecture of the upper Paleozoic to Jurassic oceanic Cache Creek Terrane, central British Columbia",imbricate architecture of the upper paleozoic to jurassic oceanic cache creek terrane central british columbia,Journal Article,"Struik, LC; Schiarizza, P; Orchard, MJ; Cordey, F; Sano, H; MacIntyre, DG; Lapierre, H; Tardy, M",CANADIAN JOURNAL OF EARTH SCIENCES,2001,Search
Introduction to the special issue of Canadian Journal of Earth Sciences: The Nechako NATMAP Project of the central Canadian Cordillera.,introduction to the special issue of canadian journal of earth sciences the nechako natmap project of the central canadian cordillera,Journal Article,"Struik, LC; MacIntyre, DG",CANADIAN JOURNAL OF EARTH SCIENCES,2001,Search
Seed preinoculation and soil liming for growth of forage legumes on acidic clay soils,seed preinoculation and soil liming for growth of forage legumes on acidic clay soils,Journal Article,"Stout, DG; Broersma, K; Acharya, SN",JOURNAL OF AGRICULTURAL SCIENCE,1997,Search
"Biological monitoring of Fraser River near Prince-George, BC",biological monitoring of fraser river near princegeorge bc,Magazine Article,"Stone, D; Griffing, TC; Knight, MC",PULP & PAPER-CANADA,1974,Search
"Parental environment aftereffects on germination, growth, and adaptive traits in selected white spruce families",parental environment aftereffects on germination growth and adaptive traits in selected white spruce families,Journal Article,"Stoehr, MU; L'Hirondelle, SJ; Binder, WD; Webber, JE",CANADIAN JOURNAL OF FOREST RESEARCH-REVUE CANADIENNE DE RECHERCHE FORESTIERE,1998,Search
"Crustal velocity structure of the southern Nechako basin, British Columbia, from wide-angle seismic traveltime inversion",crustal velocity structure of the southern nechako basin british columbia from wideangle seismic traveltime inversion,Journal Article,"Stephenson, AL; Spence, GD; Wang, K; Hole, JA; Miller, KC; Clowes, RM; Harder, SH; Kaip, GM",CANADIAN JOURNAL OF EARTH SCIENCES,2011,Search
"'You people talk from paper': Indigenous law, western legalism, and the cultural variability of law's materials",you people talk from paper indigenous law western legalism and the cultural variability of laws materials,Journal Article,"Stauffer, J",LAW TEXT CULTURE,2019,Search
Dendrohydroclimate reconstructions of July-August runoff for two nival-regime rivers in west central British Columbia,dendrohydroclimate reconstructions of julyaugust runoff for two nivalregime rivers in west central british columbia,Journal Article,"Starheim, CCA; Smith, DJ; Prowse, TD",HYDROLOGICAL PROCESSES,2013,Search
"Near-surface and crustal-scale images of the Nechako basin, British Columbia, Canada, from magnetotelluric investigations",nearsurface and crustalscale images of the nechako basin british columbia canada from magnetotelluric investigations,Journal Article,"Spratt, J; Craven, J",CANADIAN JOURNAL OF EARTH SCIENCES,2011,Search
The Cedar Project: high incidence of HCV infections in a longitudinal study of young Aboriginal people who use drugs in two Canadian cities,the cedar project high incidence of hcv infections in a longitudinal study of young aboriginal people who use drugs in two canadian cities,Journal Article,"Spittal, PM; Pearce, ME; Chavoshi, N; Christian, WM; Moniruzzaman, A; Teegee, M; Schechter, MT",BMC PUBLIC HEALTH,2012,Search
The Cedar Project: Prevalence and correlates of HIV infection among young Aboriginal people who use drugs in two Canadian cities,the cedar project prevalence and correlates of hiv infection among young aboriginal people who use drugs in two canadian cities,Journal Article,"Spittal, PM; Craib, KJP; Teegee, M; Baylis, C; Christian, WM; Moniruzzaman, AKM; Schechter, MT",INTERNATIONAL JOURNAL OF CIRCUMPOLAR HEALTH,2007,Search
The Baker Creek Research Watershed: Streamflow data highlighting the behaviour of an intermittent Canadian Shield stream through a wet-dry-wet cycle,the baker creek research watershed streamflow data highlighting the behaviour of an intermittent canadian shield stream through a wetdrywet cycle,Journal Article,"Spence, C; Hedstrom, N",HYDROLOGICAL PROCESSES,2021,Search
"A map that roared and an original atlas: Canada, cartography, and the narration of nation",a map that roared and an original atlas canada cartography and the narration of nation,Journal Article,"Sparke, M",ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS,1998,Search
"Boreal cloister + University building, Prince-George, British-Columbia, Canada, Hotson-Bakker architects",boreal cloister university building princegeorge britishcolumbia canada hotsonbakker architects,Journal Article,"Southgate, M",ARCHITECTURAL REVIEW,1997,Search
"Comparison of gridded snow water equivalent products with in situ measurements in British Columbia, Canada",comparison of gridded snow water equivalent products with in situ measurements in british columbia canada,Journal Article,"Snauffer, AM; Hsieh, WW; Cannon, AJ",JOURNAL OF HYDROLOGY,2016,Search
Reducing solid waste in higher education: The first step towards 'greening' a university campus,reducing solid waste in higher education the first step towards greening a university campus,Journal Article,"Smyth, DP; Fredeen, AL; Booth, AL",RESOURCES CONSERVATION AND RECYCLING,2010,Search
New geophysical models for subsurface velocity structure in the Nechako-Chilcotin plateau from 2.5-D waveform tomography,new geophysical models for subsurface velocity structure in the nechakochilcotin plateau from 25d waveform tomography,Journal Article,"Smithyman, BR; Clowes, RM; Bordet, E",CANADIAN JOURNAL OF EARTH SCIENCES,2014,Search
Waveform tomography of field vibroseis data using an approximate 2D geometry leads to improved velocity models,waveform tomography of field vibroseis data using an approximate 2d geometry leads to improved velocity models,Journal Article,"Smithyman, BR; Clowes, RM",GEOPHYSICS,2012,Search
Waveform tomography in 2.5D: Parameterization for crooked-line acquisition geometry,waveform tomography in 25d parameterization for crookedline acquisition geometry,Journal Article,"Smithyman, BR; Clowes, RM",JOURNAL OF GEOPHYSICAL RESEARCH-SOLID EARTH,2013,Search
Occurrence of Pissodes Fiskei (Coleoptera: Curculionidae) in Canada: Cytology and Geographic distribution.,occurrence of pissodes fiskei coleoptera curculionidae in canada cytology and geographic distribution,Journal Article,"Smith, S. G.; Macdonald, J. A.",The Canadian Entomologist,1972,Search
Decay in advanced Alpine Fir regeneration in prince George District of British Columbia,decay in advanced alpine fir regeneration in prince george district of british columbia,Journal Article,"Smith, RB; Craig, HM",FORESTRY CHRONICLE,1968,Search
Population genetic analysis of white sturgeon (Acipenser transmontanus) in the Fraser River,population genetic analysis of white sturgeon acipenser transmontanus in the fraser river,Journal Article,"Smith, CT; Nelson, RJ; Pollard, S; Rubidge, E; McKay, SJ; Rodzen, J; May, B; Koop, B",JOURNAL OF APPLIED ICHTHYOLOGY,2002,Search
Sensitivity of the thematic mapper enhanced wetness difference index to detect mountain pine beetle red-attack damage,sensitivity of the thematic mapper enhanced wetness difference index to detect mountain pine beetle redattack damage,Journal Article,"Skakun, RS; Wulder, MA; Franklin, SE",REMOTE SENSING OF ENVIRONMENT,2003,Search
Challenges and Barriers experienced by Prince George Parents in providing opportunities for children to engage in healthy eating and active living: A men's health parents perspective,challenges and barriers experienced by prince george parents in providing opportunities for children to engage in healthy eating and active living a mens health parents perspective,Journal Article,"Shubair, MM; Scott, J",JOURNAL OF MENS HEALTH,2017,Search
"The Cedar Project: Historical, structural and interpersonal determinants of involvement in survival sex work over time among Indigenous women who have used drugs in two Canadian cities",the cedar project historical structural and interpersonal determinants of involvement in survival sex work over time among indigenous women who have used drugs in two canadian cities,Journal Article,"Sharma, R; Pooyak, S; Jongbloed, K; Zamar, D; Pearce, ME; Mazzuca, A; Schechter, MT; Spittal, PM",INTERNATIONAL JOURNAL OF DRUG POLICY,2021,Search
Linking Atmospheric Rivers to Annual and Extreme River Runoff in British Columbia and Southeastern Alaska,linking atmospheric rivers to annual and extreme river runoff in british columbia and southeastern alaska,Journal Article,"Sharma, AR; Dery, SJ",JOURNAL OF HYDROMETEOROLOGY,2020,Search
"Sheep vegetation management for controlling competing vegetation in young conifer plantations in the central interior of British Columbia, Canada",sheep vegetation management for controlling competing vegetation in young conifer plantations in the central interior of british columbia canada,Journal Article,"Serra, R; Opio, C; Khasa, DP",AGROFORESTRY SYSTEMS,2014,Search
Low levels of hybridization across two contact zones among three species of woodpeckers (Sphyrapicus sapsuckers),low levels of hybridization across two contact zones among three species of woodpeckers sphyrapicus sapsuckers,Journal Article,"Seneviratne, SS; Davidson, P; Martin, K; Irwin, DE",JOURNAL OF AVIAN BIOLOGY,2016,Search
"Hydrothermal alteration and fluid chemistry of the Endako porphyry molybdenum deposit, British Columbia",hydrothermal alteration and fluid chemistry of the endako porphyry molybdenum deposit british columbia,Journal Article,"Selby, D; Nesbitt, BE; Muehlenbachs, K; Prochaska, W",ECONOMIC GEOLOGY AND THE BULLETIN OF THE SOCIETY OF ECONOMIC GEOLOGISTS,2000,Search
"Re-Os geochronology and systematics in molybdenite from the Endako porphyry molybdenum deposit, British Columbia, Canada",reos geochronology and systematics in molybdenite from the endako porphyry molybdenum deposit british columbia canada,Journal Article,"Selby, D; Creaser, RA",ECONOMIC GEOLOGY AND THE BULLETIN OF THE SOCIETY OF ECONOMIC GEOLOGISTS,2001,Search
Hierarchical patterns of population structure in the endangered Fraser River white sturgeon (Acipenser transmontanus) and implications for conservation,hierarchical patterns of population structure in the endangered fraser river white sturgeon acipenser transmontanus and implications for conservation,Journal Article,"Schreier, AD; Mahardja, B; May, B",CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,2012,Search
"Recent volume loss of British Columbian glaciers, Canada",recent volume loss of british columbian glaciers canada,Journal Article,"Schiefer, E; Menounos, B; Wheate, R",GEOPHYSICAL RESEARCH LETTERS,2007,Search
Use of wildlife camera traps to aid in wildlife management planning at airports,use of wildlife camera traps to aid in wildlife management planning at airports,Journal Article,"Scheideman, MATTHEW; Rea, ROY; Hesse, GAYLE; Soong, LAURA; Green, CUYLER; Sample, CALEB; Booth, ANNIE",Journal of Airport Management,2017,Search
"Facies interpretation of Middle Carboniferous to Lower Permian Pope succession limestone of Cache Creek Group, Fort St. James, central British Columbia",facies interpretation of middle carboniferous to lower permian pope succession limestone of cache creek group fort st james central british columbia,Journal Article,"Sano, H; Rui, L",CANADIAN JOURNAL OF EARTH SCIENCES,2001,Search
"Necoslie breccia: mixed conodont fauna-bearing neptunian dyke in Carboniferous-Permian seamount-capping oceanic buildup (Pope succession, Cache Creek Complex, central British Columbia)",necoslie breccia mixed conodont faunabearing neptunian dyke in carboniferouspermian seamountcapping oceanic buildup pope succession cache creek complex central british columbia,Journal Article,"Sano, H; Orchard, MJ",FACIES,2004,Search
"Climate change and water at Stellat'en First Nation, British Columbia, Canada: Insights from western science and traditional knowledge",climate change and water at stellaten first nation british columbia canada insights from western science and traditional knowledge,Journal Article,"Sanderson, D; Picketts, IM; Dery, SJ; Fell, B; Baker, S; Lee-Johnson, E; Auger, M",CANADIAN GEOGRAPHER-GEOGRAPHE CANADIEN,2015,Search
Homeless and incarcerated: An epidemiological study from Canada,homeless and incarcerated an epidemiological study from canada,Journal Article,"Saddichha, S; Fliers, JM; Frankish, J; Somers, J; Schuetz, CG; Krausz, MR",INTERNATIONAL JOURNAL OF SOCIAL PSYCHIATRY,2014,Search
Institutional barriers to incorporating climate responsive design in commercial redevelopment,institutional barriers to incorporating climate responsive design in commercial redevelopment,Journal Article,"Ryser, L; Halseth, G",ENVIRONMENT AND PLANNING B-PLANNING & DESIGN,2008,Search
The Cordilleran Ice-Sheet in Northern British-Columbia,the cordilleran icesheet in northern britishcolumbia,Journal Article,"Ryder, JM; Maynard, D",GEOGRAPHIE PHYSIQUE ET QUATERNAIRE,1991,Search
"Internal structure of Murray Ridge Ultramafic, Central, BC, Canada",internal structure of murray ridge ultramafic central bc canada,Journal Article,"Ross, JV",TRANSACTIONS-AMERICAN GEOPHYSICAL UNION,1974,Search
Monitoring snow wetness in an Alpine Basin using combined C-band SAR and MODIS data,monitoring snow wetness in an alpine basin using combined cband sar and modis data,Journal Article,"Rondeau-Genesse, G; Trudel, M; Leconte, R",REMOTE SENSING OF ENVIRONMENT,2016,Search
"Douglas-fir pitch moth, Synanthedon novaroensis (Lepidoptera : Sesiidae) in North-Central British Columbia: Flight period and the effect of trap type and pheromone dosage on trap catches",douglasfir pitch moth synanthedon novaroensis lepidoptera sesiidae in northcentral british columbia flight period and the effect of trap type and pheromone dosage on trap catches,Journal Article,"Rocchini, LA; Lindgren, BS; Bennett, RG",ENVIRONMENTAL ENTOMOLOGY,2003,Search
Risk rating for mountain pine beetle infestation of lodgepole pine forests over large areas with ordinal regression modelling,risk rating for mountain pine beetle infestation of lodgepole pine forests over large areas with ordinal regression modelling,Journal Article,"Robertson, C; Wulder, MA; Nelson, TA; White, JC",FOREST ECOLOGY AND MANAGEMENT,2008,Search
A statistical examination of the Health Utility Index-Mark III as a summary measure of health status for a general population health survey,a statistical examination of the health utility indexmark iii as a summary measure of health status for a general population health survey,Journal Article,"Richardson, CG; Zumbo, BD",SOCIAL INDICATORS RESEARCH,2000,Search
Rock Control of River Geometry: The Fraser Canyons,rock control of river geometry the fraser canyons,Journal Article,"Rennie, CD; Church, M; Venditti, JG",JOURNAL OF GEOPHYSICAL RESEARCH-EARTH SURFACE,2018,Search
Toward a pluralistic civic science?: Assessing community forestry,toward a pluralistic civic science assessing community forestry,Journal Article,"Reed, MG; McIlveen, K",SOCIETY & NATURAL RESOURCES,2006,Search
Road and Rail Side Vegetation Management Implications of Habitat Use by Moose Relative to Brush Cutting Season,road and rail side vegetation management implications of habitat use by moose relative to brush cutting season,Journal Article,"Rea, RV; Child, KN; Spata, DP; MacDonald, D",ENVIRONMENTAL MANAGEMENT,2010,Search
Long-term responses of ecosystem components to stand thinning in young lodgepole pine forest. 1. Population dynamics of northern flying squirrels and red squirrels,longterm responses of ecosystem components to stand thinning in young lodgepole pine forest 1 population dynamics of northern flying squirrels and red squirrels,Journal Article,"Ransome, DB; Lindgren, PMF; Sullivan, DS; Sullivan, TP",FOREST ECOLOGY AND MANAGEMENT,2004,Search
Geographic variation in White-throated Sparrow song may arise through cultural drift,geographic variation in whitethroated sparrow song may arise through cultural drift,Journal Article,"Ramsay, SM; Otter, KA",JOURNAL OF ORNITHOLOGY,2015,Search
When the plumes rise: The way of the Lake Babine nation,when the plumes rise the way of the lake babine nation,Journal Article,"Raibmon, P",CANADIAN HISTORICAL REVIEW,2001,Search
Population fragmentation and inter-ecosystem movements of grizzly bears in western Canada and the northern United States,population fragmentation and interecosystem movements of grizzly bears in western canada and the northern united states,Journal Article,"Proctor, MF; Paetkau, D; Mclellan, BN; Stenhouse, GB; Kendall, KC; Mace, RD; Kasworm, WF; Servheen, C; Lausen, CL; Gibeau, ML; Wakkinen, WL; Haroldson, MA; Mowat, G; Apps, CD; Ciarniello, LM; Barclay, RMR; Boyce, MS; Schwartz, CC; Strobeck, C",WILDLIFE MONOGRAPHS,2012,Search
"Fish Weirs and an interior salmon fishery on the Nautley River, Central British Columbia",fish weirs and an interior salmon fishery on the nautley river central british columbia,Journal Article,"Prince, P",NORTH AMERICAN ARCHAEOLOGIST,2014,Search
"Persistence and Meaning in Fur-Bearing Mammal Usage on the Nechako Plateau, British Columbia",persistence and meaning in furbearing mammal usage on the nechako plateau british columbia,Journal Article,"Prince, P",INTERNATIONAL JOURNAL OF HISTORICAL ARCHAEOLOGY,2019,Search
"Dating and interpreting pine cambium collection scars from two parts of the Nechako River drainage, British Columbia",dating and interpreting pine cambium collection scars from two parts of the nechako river drainage british columbia,Journal Article,"Prince, P",JOURNAL OF ARCHAEOLOGICAL SCIENCE,2001,Search
Leeches as in situ biomonitors of chlorinated phenolic compounds .2. Pulp mill investigations,leeches as in situ biomonitors of chlorinated phenolic compounds 2 pulp mill investigations,Journal Article,"Prahacs, SM; Hall, KJ; Duncan, W",WATER RESEARCH,1996,Search
Habitat use by woodland caribou near Takla Lake in central British Columbia,habitat use by woodland caribou near takla lake in central british columbia,Journal Article,"Poole, KG; Heard, DC; Mowat, G",CANADIAN JOURNAL OF ZOOLOGY,2000,Search
"Mercury and antimony in soils and non-vascular plants near two past-producing mercury mines, British Columbia, Canada",mercury and antimony in soils and nonvascular plants near two pastproducing mercury mines british columbia canada,Journal Article,"Plouffe, A; Rasmussen, PE; Hall, GEM; Pelchat, P",GEOCHEMISTRY-EXPLORATION ENVIRONMENT ANALYSIS,2004,Search
"Late Quaternary glacial and interglacial environments of the Nechako River - Cheslatta Lake area, central British Columbia",late quaternary glacial and interglacial environments of the nechako river cheslatta lake area central british columbia,Journal Article,"Plouffe, A; Levson, VM",CANADIAN JOURNAL OF EARTH SCIENCES,2001,Search
Middle Wisconsinan sediments and paleoecology of central British Columbia: sites at Necoslie and Nautley rivers,middle wisconsinan sediments and paleoecology of central british columbia sites at necoslie and nautley rivers,Journal Article,"Plouffe, A; Jette, H",CANADIAN JOURNAL OF EARTH SCIENCES,1997,Search
Glacial dispersal of mercury from bedrock mineralization along Pinchi Fault North Central British-Columbia,glacial dispersal of mercury from bedrock mineralization along pinchi fault north central britishcolumbia,Journal Article,"Plouffe, A",WATER AIR AND SOIL POLLUTION,1995,Search
"Detrital transport of metals by glaciers, an example from the Pinchi Mine, central British Columbia",detrital transport of metals by glaciers an example from the pinchi mine central british columbia,Journal Article,"Plouffe, A",ENVIRONMENTAL GEOLOGY,1998,Search
A New Paradigm for Teaching Histology Laboratories in Canada's First Distributed Medical School,a new paradigm for teaching histology laboratories in canadas first distributed medical school,Journal Article,"Pinder, KE; Ford, JC; Ovalle, WK",ANATOMICAL SCIENCES EDUCATION,2008,Search
Planning for climate change adaptation: lessons learned from a community-based workshop,planning for climate change adaptation lessons learned from a communitybased workshop,Journal Article,"Picketts, IM; Werner, AT; Murdock, TQ; Curry, J; Dery, SJ; Dyer, D",ENVIRONMENTAL SCIENCE & POLICY,2012,Search
"Climate change and resource development impacts in watersheds: Insights from the Nechako River Basin, Canada",climate change and resource development impacts in watersheds insights from the nechako river basin canada,Journal Article,"Picketts, IM; Parkes, MW; Dery, SJ",CANADIAN GEOGRAPHER-GEOGRAPHE CANADIEN,2017,Search
Scenarios of climate change and natural resource development: Complexity and uncertainty in the Nechako Watershed,scenarios of climate change and natural resource development complexity and uncertainty in the nechako watershed,Journal Article,"Picketts, IM; Dery, SJ; Parkes, MW; Sharma, AR; Matthews, CA",CANADIAN GEOGRAPHER-GEOGRAPHE CANADIEN,2020,Search
Unsettling a settler society,unsettling a settler society,Book Section,"Sandercock, Leonie; Attili, Giovanni",Real Social Science: Applied Phronesis,2012,Search
Land Is Life: Indigenous Relationships to Territory and Navigating Settler Colonial Property Regimes in Canada,land is life indigenous relationships to territory and navigating settler colonial property regimes in canada,Journal Article,"Atleo, C; Boron, J",LAND,2022,Search
Compatible ground-motion time histories for new national seismic hazard maps,compatible groundmotion time histories for new national seismic hazard maps,Journal Article,"Atkinson, GM; Beresnev, IA",CANADIAN JOURNAL OF CIVIL ENGINEERING,1998,Search
Facing warm temperatures during migration: cardiac mRNA responses of two adult Oncorhynchus nerka populations to warming and swimming challenges,facing warm temperatures during migration cardiac mrna responses of two adult oncorhynchus nerka populations to warming and swimming challenges,Journal Article,"Anttila, K; Eliason, EJ; Kaukinen, KH; Miller, KM; Farrell, AP",JOURNAL OF FISH BIOLOGY,2014,Search
Planting the Seeds of Leadership,planting the seeds of leadership,Journal Article,"Anonson, June; Conroy, Stephanie; Healey-Ogden, Marion; Palmer, Jessie; Shawara, Elaine",The Canadian Nurse,2005,Search
"TREK geological mapping project, year 2: update on bedrock geology and mineralization in the TREK project area, central British Columbia (parts of NTS 093B, C, F, G)",trek geological mapping project year 2 update on bedrock geology and mineralization in the trek project area central british columbia parts of nts 093b c f g,Journal Article,"Angen, J. J.; Logan, J. M.; Hart, C. J. R.; Kim, R.",Geoscience BC Summary of Activities,2015,Search
"Pleistocene reversal of the Fraser River, British Columbia",pleistocene reversal of the fraser river british columbia,Journal Article,"Andrews, GDM; Russell, JK; Brown, SR; Enkin, RJ",GEOLOGY,2012,Search
"The thickness of Neogene and Quaternary cover across the central Interior Plateau, British Columbia: analysis of water-well drill records and implications for mineral exploration potential",the thickness of neogene and quaternary cover across the central interior plateau british columbia analysis of waterwell drill records and implications for mineral exploration potential,Journal Article,"Andrews, GDM; Plouffe, A; Ferbey, T; Russell, JK; Brown, SR; Anderson, RG",CANADIAN JOURNAL OF EARTH SCIENCES,2011,Search
Just like starting over at Endako,just like starting over at endako,Journal Article,"Anderson, S",CANADIAN MINING JOURNAL,1990,Search
"The Cheslatta Lake suite: Miocene mafic, alkaline magmatism in central British Columbia",the cheslatta lake suite miocene mafic alkaline magmatism in central british columbia,Journal Article,"Anderson, RG; Resnick, J; Russell, JK; Woodsworth, GJ; Villeneuve, ME; Grainger, NC",CANADIAN JOURNAL OF EARTH SCIENCES,2001,Search
